iter	Passed	Remaining
0	1	192
1	3	181
2	5	180
3	7	171
4	9	171
5	10	168
6	12	167
7	14	165
8	15	160
9	17	157
10	18	153
11	20	151
12	22	148
13	23	146
14	25	142
15	26	137
16	27	134
17	28	129
18	29	124
19	29	119
20	30	115
21	31	111
22	32	108
23	33	104
24	34	103
25	35	99
26	35	96
27	36	94
28	37	91
29	38	89
30	38	86
31	39	83
32	40	81
33	40	78
34	41	76
35	41	74
36	42	71
37	42	69
38	43	67
39	43	65
40	44	63
41	44	61
42	45	60
43	45	58
44	46	56
45	51	60
46	52	58
47	52	57
48	53	55
49	53	53
50	54	52
51	55	51
52	55	49
53	56	48
54	56	46
55	57	45
56	58	44
57	59	42
58	60	41
59	60	40
60	61	39
61	61	37
62	62	36
63	62	35
64	62	33
65	63	32
66	63	31
67	64	30
68	64	28
69	64	27
70	65	26
71	65	25
72	65	24
73	66	23
74	66	22
75	66	21
76	67	20
77	67	19
78	68	18
79	68	17
80	68	16
81	69	15
82	69	14
83	69	13
84	70	12
85	70	11
86	70	10
87	71	9
88	71	8
89	71	7
90	72	7
91	72	6
92	72	5
93	73	4
94	73	3
95	73	3
96	74	2
97	74	1
98	74	0
99	75	0
