iter	Passed	Remaining
0	47	46993
1	47	23774
2	48	16016
3	48	12125
4	49	9800
5	49	8251
6	50	7148
7	50	6319
8	51	5676
9	52	5166
10	52	4745
11	53	4393
12	53	4093
13	54	3837
14	55	3617
15	55	3420
16	56	3249
17	56	3097
18	57	2959
19	57	2839
20	58	2731
21	59	2631
22	59	2543
23	60	2463
24	61	2388
25	61	2317
26	62	2253
27	63	2192
28	63	2136
29	64	2084
30	65	2037
31	65	1991
32	66	1952
33	67	1915
34	68	1881
35	68	1847
36	69	1815
37	70	1785
38	71	1756
39	72	1729
40	72	1703
41	73	1677
42	74	1655
43	75	1637
44	76	1621
45	77	1603
46	78	1587
47	79	1570
48	80	1555
49	81	1541
50	82	1526
51	82	1513
52	83	1500
53	84	1487
54	86	1477
55	86	1465
56	87	1455
57	88	1443
58	89	1432
59	90	1422
60	91	1411
61	92	1401
62	93	1393
63	94	1384
64	95	1375
65	96	1367
66	97	1359
67	98	1351
68	99	1344
69	100	1337
70	101	1329
71	102	1322
72	103	1315
73	104	1308
74	105	1300
75	107	1308
76	108	1302
77	109	1295
78	110	1289
79	111	1282
80	112	1277
81	115	1293
82	116	1282
83	117	1276
84	123	1328
85	124	1321
86	125	1316
87	126	1309
88	127	1303
89	128	1296
90	130	1303
91	131	1297
92	132	1292
93	133	1287
94	134	1281
95	135	1275
96	136	1270
97	137	1264
98	138	1258
99	139	1253
100	140	1247
101	141	1242
102	142	1238
103	143	1232
104	144	1228
105	145	1223
106	145	1218
107	146	1213
108	147	1209
109	148	1204
110	149	1200
111	150	1196
112	151	1191
113	152	1187
114	153	1182
115	154	1178
116	155	1172
117	156	1168
118	157	1164
119	158	1159
120	159	1156
121	159	1151
122	161	1148
123	162	1145
124	163	1141
125	164	1137
126	164	1132
127	165	1129
128	166	1125
129	167	1122
130	168	1118
131	169	1115
132	170	1111
133	171	1107
134	172	1104
135	173	1100
136	174	1097
137	175	1094
138	176	1090
139	177	1087
140	178	1084
141	178	1079
142	179	1075
143	180	1072
144	181	1069
145	182	1066
146	183	1062
147	184	1059
148	185	1056
149	185	1053
150	186	1050
151	187	1047
152	188	1044
153	189	1041
154	190	1037
155	191	1033
156	191	1029
157	192	1025
158	193	1021
159	193	1017
160	194	1012
161	194	1008
162	195	1004
163	196	1001
164	197	997
165	197	993
166	198	989
167	198	985
168	199	980
169	200	976
170	200	972
171	201	968
172	201	964
173	202	960
174	202	956
175	203	952
176	204	948
177	204	944
178	205	941
179	205	937
180	206	933
181	206	929
182	207	925
183	207	921
184	208	917
185	208	913
186	209	909
187	209	905
188	210	901
189	210	898
190	211	894
191	211	890
192	212	886
193	212	883
194	213	879
195	213	875
196	213	872
197	214	868
198	214	865
199	215	861
200	215	857
201	216	853
202	216	850
203	217	846
204	217	843
205	217	839
206	218	836
207	218	832
208	219	829
209	219	825
210	219	822
211	220	819
212	220	815
213	221	812
214	221	809
215	222	805
216	222	802
217	222	799
218	223	795
219	223	792
220	223	789
221	224	785
222	224	782
223	224	779
224	225	775
225	225	772
226	225	769
227	226	766
228	226	763
229	226	759
230	227	756
231	227	753
232	228	750
233	228	747
234	228	744
235	229	741
236	229	738
237	229	735
238	230	732
239	230	729
240	230	726
241	231	723
242	231	720
243	231	717
244	231	714
245	232	711
246	232	709
247	232	706
248	233	703
249	233	700
250	233	697
251	234	694
252	234	692
253	234	689
254	235	686
255	235	683
256	235	681
257	235	678
258	236	675
259	236	673
260	236	670
261	237	668
262	237	665
263	237	663
264	238	660
265	238	657
266	238	655
267	239	652
268	239	650
269	239	647
270	239	645
271	240	642
272	240	640
273	240	638
274	241	635
275	241	633
276	241	630
277	242	628
278	242	626
279	242	623
280	242	621
281	243	619
282	243	616
283	243	614
284	244	612
285	244	610
286	244	607
287	244	605
288	245	603
289	245	601
290	245	598
291	246	596
292	246	594
293	246	592
294	247	590
295	247	588
296	247	586
297	247	583
298	248	581
299	248	579
300	248	577
301	249	575
302	249	573
303	249	571
304	249	569
305	250	567
306	250	565
307	250	563
308	251	561
309	251	559
310	251	557
311	251	555
312	252	553
313	252	551
314	252	549
315	253	547
316	253	546
317	253	544
318	253	542
319	254	540
320	254	538
321	254	536
322	255	534
323	255	532
324	255	531
325	256	529
326	256	527
327	256	525
328	256	523
329	257	522
330	257	520
331	257	518
332	258	516
333	258	515
334	258	513
335	258	511
336	259	510
337	259	508
338	259	506
339	260	505
340	260	503
341	260	501
342	261	499
343	261	498
344	261	496
345	261	495
346	262	493
347	262	491
348	262	490
349	263	488
350	263	486
351	263	485
352	263	483
353	264	482
354	264	480
355	264	478
356	265	477
357	265	475
358	265	474
359	265	472
360	266	471
361	266	469
362	266	468
363	267	466
364	267	465
365	267	463
366	268	462
367	268	460
368	268	459
369	268	457
370	269	456
371	269	454
372	269	453
373	270	452
374	270	450
375	270	449
376	270	447
377	271	446
378	271	444
379	271	443
380	272	442
381	272	440
382	272	439
383	273	437
384	273	436
385	273	435
386	273	433
387	274	432
388	274	431
389	274	429
390	275	428
391	275	427
392	275	425
393	275	424
394	276	423
395	276	421
396	276	420
397	277	419
398	277	417
399	277	416
400	277	415
401	278	413
402	278	412
403	278	411
404	279	410
405	279	408
406	279	407
407	280	406
408	280	405
409	280	403
410	280	402
411	281	401
412	281	400
413	281	398
414	282	397
415	282	396
416	282	395
417	282	393
418	283	392
419	283	391
420	283	390
421	284	389
422	284	387
423	284	386
424	284	385
425	285	384
426	285	383
427	285	382
428	286	380
429	286	379
430	286	378
431	287	377
432	287	376
433	287	375
434	287	373
435	288	372
436	288	371
437	288	370
438	289	369
439	289	368
440	289	367
441	289	365
442	290	364
443	290	363
444	290	362
445	291	361
446	291	360
447	291	359
448	291	358
449	292	357
450	292	356
451	292	355
452	293	354
453	293	352
454	293	351
455	294	350
456	294	349
457	294	348
458	295	347
459	295	346
460	295	345
461	295	344
462	296	343
463	296	342
464	296	341
465	297	340
466	297	339
467	297	338
468	297	337
469	298	336
470	298	335
471	298	334
472	299	333
473	299	332
474	299	331
475	300	330
476	300	329
477	300	328
